ID,Name,Start Time,Location,Host URL,Time Updated
220, Men's Basketball vs. Miami (TBA),1/21/2017 00:01,Cameron Indoor Stadium,calendar.duke.edu/events/show?fq=id%3ACAL-8a0870ef-57d2ac3d-0157-d8673bc0-00002615demobedework%40mysite.edu,2016-12-14 10:05:33.764898
221,The Art of Storytelling,1/21/2017 9:30,,calendar.duke.edu/events/show?fq=id%3ACAL-8a0870ef-56e4a218-0156-e764920a-000045c1demobedework%40mysite.edu_20170121T143000Z,2016-12-14 10:05:33.764913
222,Nasher Creates,1/21/2017 10:00,Nasher Museum of Art,calendar.duke.edu/events/show?fq=id%3ACAL-8a0870ee-5824363a-0158-260266b1-00005bb7demobedework%40mysite.edu,2016-12-14 10:05:33.764918
223, LIVE FOR LIFE @ Duke HealthCheck - Duke (North) Hospital Outside the Cafeteria,1/21/2017 10:00,,calendar.duke.edu/events/show?fq=id%3ACAL-8a0870ee-58d29677-0158-e48121eb-00005451demobedework%40mysite.edu,2016-12-14 10:05:33.764923
224,Drinking Coffee is Natural!: Bach's Coffee Cantata,1/21/2017 15:00,,calendar.duke.edu/events/show?fq=id%3ACAL-8a0870ef-565478e9-0156-56a1309a-0000744cdemobedework%40mysite.edu,2016-12-14 10:05:33.764929
225,Barnatan McGill Weilerstein Trio,1/21/2017 20:00,Baldwin Auditorium,calendar.duke.edu/events/show?fq=id%3ACAL-8a0870ef-5549ba19-0155-4ac6c653-00003458demobedework%40mysite.edu,2016-12-14 10:05:33.764934
226,Catholic Mass - Goodson Chapel,1/22/2017 9:30,Divinity School Goodson Chapel,calendar.duke.edu/events/show?fq=id%3ACAL-8a0870ef-4f40a47f-014f-4238344e-00006c2cdemobedework%40mysite.edu_20170122T143000Z,2016-12-14 10:05:33.764940
227, Wee Praise (Westbrook Building),1/22/2017 9:45,,calendar.duke.edu/events/show?fq=id%3ACAL-8a0870ef-569c8e38-0156-a3099922-00006f7bdemobedework%40mysite.edu_20170122T144500Z,2016-12-14 10:05:33.764945
228, Godly Play (Langford Building),1/22/2017 9:45,,calendar.duke.edu/events/show?fq=id%3ACAL-8a0870ef-569c8e38-0156-a30b62e2-00006fd0demobedework%40mysite.edu_20170122T144500Z,2016-12-14 10:05:33.764950
229, Youth Sunday School (Westbrook Building),1/22/2017 9:45,,calendar.duke.edu/events/show?fq=id%3ACAL-8a0870ef-569c8e38-0156-a30e2e9f-00007079demobedework%40mysite.edu_20170122T144500Z,2016-12-14 10:05:33.764955
230, Adult Forum (Westbrook Building),1/22/2017 9:45,,calendar.duke.edu/events/show?fq=id%3ACAL-8a0870ef-569c8e38-0156-a306dbfb-00006e86demobedework%40mysite.edu_20170122T144500Z,2016-12-14 10:05:33.764960
231,University Worship,1/22/2017 11:00,Duke Chapel,calendar.duke.edu/events/show?fq=id%3ACAL-8a0870ef-5434eacf-0154-350a21e0-00001075demobedework%40mysite.edu_20170122T160000Z,2016-12-14 10:05:33.764966
232,Catholic Mass - Goodson Chapel,1/22/2017 11:00,Goodson Chapel,calendar.duke.edu/events/show?fq=id%3ACAL-8a0870ee-4cc8788f-014c-dda97066-00001c66demobedework%40mysite.edu_20170122T160000Z,2016-12-14 10:05:33.764976
233,Free Family Day,1/22/2017 12:00,Nasher Museum of Art,calendar.duke.edu/events/show?fq=id%3ACAL-8a0870ee-5824363a-0158-2603cfd4-00005c0cdemobedework%40mysite.edu,2016-12-14 10:05:33.764982
234,Women's Basketball at Boston College,1/22/2017 14:00,Chestnut Hill MA,calendar.duke.edu/events/show?fq=id%3ACAL-8a0870ee-57dc1ede-0157-dd99a864-0000588fdemobedework%40mysite.edu,2016-12-14 10:05:33.764987
235,Choral Evensong,1/22/2017 16:00,,calendar.duke.edu/events/show?fq=id%3ACAL-8a0870ef-568e5692-0156-953746f9-00004e9bdemobedework%40mysite.edu_20170122T210000Z,2016-12-14 10:05:33.764992
236,Instrumental Musings: Bach the violinist cellist and singer,1/22/2017 17:00,,calendar.duke.edu/events/show?fq=id%3ACAL-8a0870ef-5640b640-0156-47305868-00005016demobedework%40mysite.edu,2016-12-14 10:05:33.764997
237,Youth Fellowship,1/22/2017 17:00,,calendar.duke.edu/events/show?fq=id%3ACAL-8a0870ef-56b915eb-0156-c334f3a4-000058e4demobedework%40mysite.edu_20170122T220000Z,2016-12-14 10:05:33.765002
238,MFA|EDA Sunday Screening Salon,1/22/2017 18:00,105 Hood Street Suite #5                  -,calendar.duke.edu/events/show?fq=id%3ACAL-8a0870ee-56fd49ba-0157-0a7871c4-00000d85demobedework%40mysite.edu,2016-12-14 10:05:33.765007
239,Catholic Mass - Duke Chapel,1/22/2017 21:00,Goodson Chapel,calendar.duke.edu/events/show?fq=id%3ACAL-8a0870ee-4cc8788f-014c-dd94d9f5-000004bfdemobedework%40mysite.edu_20170123T020000Z,2016-12-14 10:05:33.765013
240,Drop-In Advising for Graduate Students,1/23/2017 10:00,The Edge Bostock Library,calendar.duke.edu/events/show?fq=id%3ACAL-8a0870ee-58eecd42-0158-f8e036d1-000007b3demobedework%40mysite.edu_20170123T150000Z,2016-12-14 10:05:33.765018
241,Gene Regulatory Changes in Vertebrate Evolution and Human Disease,1/23/2017 11:00,,calendar.duke.edu/events/show?fq=id%3ACAL-8a0870ee-58eecd42-0158-f8ca54d1-000006c0demobedework%40mysite.edu,2016-12-14 10:05:33.765023
242,Catholic Daily Mass - Monday,1/23/2017 12:00,Duke Chapel,calendar.duke.edu/events/show?fq=id%3ACAL-8a0870ef-4f40a47f-014f-42427831-00007541demobedework%40mysite.edu_20170123T170000Z,2016-12-14 10:05:33.765029
243,DVS Workshop: OpenRefine - Data Cleaning Faceting and Transformations,1/23/2017 13:30,,calendar.duke.edu/events/show?fq=id%3ACAL-8a0870ee-58b452ba-0158-cf408390-00006154demobedework%40mysite.edu,2016-12-14 10:05:33.765034
244,Undergraduate Drop-in Advising,1/23/2017 13:30,Smith Warehouse - Career Center,calendar.duke.edu/events/show?fq=id%3ACAL-8a0870ef-58f34bfa-0158-f3ce3cd4-00001bc9demobedework%40mysite.edu_20170123T183000Z,2016-12-14 10:05:33.765039
246,Cooking from the Garden: Warm Winter Soups,1/23/2017 18:00,,calendar.duke.edu/events/show?fq=id%3ACAL-8a0870ee-56fd49ba-0157-0aeea4c9-00003d0ademobedework%40mysite.edu,2016-12-14 10:05:33.765050
247,Men's Basketball vs. NC State,1/23/2017 19:00,Cameron Indoor Stadium,calendar.duke.edu/events/show?fq=id%3ACAL-8a0870ef-57d2ac3d-0157-d867c61a-0000266ademobedework%40mysite.edu,2016-12-14 10:05:33.765055
249,SON MSN Admission Interviews,1/24/2017 00:01,Pearson Building (School of Nursing),calendar.duke.edu/events/show?fq=id%3ACAL-8a0870ee-572e6f67-0157-3493b032-00003517demobedework%40mysite.edu,2016-12-14 10:05:33.765064
250,DVS Workshop: Graphic Design for Effective Diagrams,1/24/2017 9:30,,calendar.duke.edu/events/show?fq=id%3ACAL-8a0870ee-58b452ba-0158-cfbbd458-000075a7demobedework%40mysite.edu,2016-12-14 10:05:33.765070
251,Pinnell Center Works In Progress Meeting,1/24/2017 11:30,,calendar.duke.edu/events/show?fq=id%3ACAL-8a0870ef-55e4695f-0155-e970f544-000076eademobedework%40mysite.edu_20170124T163000Z,2016-12-14 10:05:33.765075
252,Building Structural Complexity via Tandem Catalytic Transformations: Total Syntheses of Bioactive Macrolides and Terpenes,1/24/2017 11:40,,calendar.duke.edu/events/show?fq=id%3ACAL-8a0870ee-54329c22-0154-3e785c55-00005e30demobedework%40mysite.edu,2016-12-14 10:05:33.765080
253,Ruth K. Broad Seminar,1/24/2017 12:00,,calendar.duke.edu/events/show?fq=id%3ACAL-8a0870ef-565478e9-0156-7f23f606-00002303demobedework%40mysite.edu,2016-12-14 10:05:33.765088
254,Terrific Lists and Nuclear Options: Judicial Nominations in the Trump Administration,1/24/2017 12:30,Law School 3043,calendar.duke.edu/events/show?fq=id%3ACAL-8a0870ef-588c944a-0158-b10491db-00006801demobedework%40mysite.edu,2016-12-14 10:05:33.765094
255,Undergraduate Drop-in Advising,1/24/2017 13:30,Smith Warehouse - Career Center,calendar.duke.edu/events/show?fq=id%3ACAL-8a0870ef-58f34bfa-0158-f3ce3cd4-00001bc9demobedework%40mysite.edu_20170124T183000Z,2016-12-14 10:05:33.765100
256,Networking Lab for Graduate Students,1/24/2017 14:00,The Graduate School Conference Room 207,calendar.duke.edu/events/show?fq=id%3ACAL-8a0870ee-58f8fdd2-0158-f9211d41-00000b6fdemobedework%40mysite.edu,2016-12-14 10:05:33.765105
257,Catholic Daily Mass - Tuesday Evenings,1/24/2017 17:45,Falcone-Arena House,calendar.duke.edu/events/show?fq=id%3ACAL-8a0870ef-4f40a47f-014f-4244a4ea-00007764demobedework%40mysite.edu_20170124T224500Z,2016-12-14 10:05:33.765111
258,Tuesday Night Dinner,1/24/2017 18:30,Falcone-Arena House,calendar.duke.edu/events/show?fq=id%3ACAL-8a0870ef-4f40a47f-014f-4239ceef-00006d6ddemobedework%40mysite.edu_20170124T233000Z,2016-12-14 10:05:33.765116
259,Duke Toastmasters Meeting,1/25/2017 7:00,Duke Credit Union 2200 W. Main Street,calendar.duke.edu/events/show?fq=id%3ACAL-8a0870ee-57832023-0157-8a6e43ab-0000637ddemobedework%40mysite.edu_20170125T120000Z,2016-12-14 10:05:33.765121
262,Midweek Prayer,1/25/2017 11:30,Duke Chapel,calendar.duke.edu/events/show?fq=id%3ACAL-8a0870ee-569760a6-0156-b2677305-00004ac4demobedework%40mysite.edu_20170125T163000Z,2016-12-14 10:05:33.765134
263,Catholic Daily Mass - Wednesday,1/25/2017 12:00,Duke Chapel,calendar.duke.edu/events/show?fq=id%3ACAL-8a0870ef-4f40a47f-014f-42459dca-0000784fdemobedework%40mysite.edu_20170125T170000Z,2016-12-14 10:05:33.765139
264, POLITICAL INSTITUTIONS WORKSHOP: Kate Baldwin (Yale University),1/25/2017 12:00,,calendar.duke.edu/events/show?fq=id%3ACAL-8a0870ee-56fd49ba-0157-00a88926-00001f57demobedework%40mysite.edu,2016-12-14 10:05:33.765144
265,Deconstructing p53 pathways in tumor suppression,1/25/2017 12:00,,calendar.duke.edu/events/show?fq=id%3ACAL-8a0870ee-53d2f7a2-0153-f6edd3de-00004194demobedework%40mysite.edu_20170125T170000Z,2016-12-14 10:05:33.765150
266,OIT Training Learn IT @ Lunch -  Putting the tech in TEC,1/25/2017 12:00,,calendar.duke.edu/events/show?fq=id%3ACAL-8a0870ee-58b0cb1e-0158-b1fc576c-00002b97demobedework%40mysite.edu,2016-12-14 10:05:33.765155
267,Be The Match Marrow Donor Drive,1/25/2017 12:00,Law School 3rd Floor Loggia,calendar.duke.edu/events/show?fq=id%3ACAL-8a0870ef-58b97e66-0158-bb1f279b-00002d48demobedework%40mysite.edu,2016-12-14 10:05:33.765160
268,FIP Seminar: Multiphoton Intravital imaging at single cell resolution reveals mechanisms of cancer dissemination and markers for prognosis and treatment of breast cancer patients,1/25/2017 12:00,,calendar.duke.edu/events/show?fq=id%3ACAL-8a0870ee-58d29677-0158-d55fafea-00007391demobedework%40mysite.edu,2016-12-14 10:05:33.765166
269,A Rule of Law Seminar with Robert Hahn,1/25/2017 12:30,Law School 3000,calendar.duke.edu/events/show?fq=id%3ACAL-8a0870ef-58f34bfa-0158-f3c0bc89-0000198ademobedework%40mysite.edu,2016-12-14 10:05:33.765173
270,DVS Workshop: Data Visualization with Excel,1/25/2017 13:30,,calendar.duke.edu/events/show?fq=id%3ACAL-8a0870ee-58b452ba-0158-cf84c41b-00006f7ddemobedework%40mysite.edu,2016-12-14 10:05:33.765178
271,Undergraduate Drop-in Advising,1/25/2017 13:30,Smith Warehouse - Career Center,calendar.duke.edu/events/show?fq=id%3ACAL-8a0870ef-58f34bfa-0158-f3ce3cd4-00001bc9demobedework%40mysite.edu_20170125T183000Z,2016-12-14 10:05:33.765182
272,Drop-In Advising for Graduate Students,1/25/2017 14:00,West Union - 241 Meeting Room,calendar.duke.edu/events/show?fq=id%3ACAL-8a0870ee-58f8fdd2-0158-f90aa570-000006fddemobedework%40mysite.edu_20170125T190000Z,2016-12-14 10:05:33.765188
273,Duke Physics Colloquium ft. Andrea Liu,1/25/2017 15:30,,calendar.duke.edu/events/show?fq=id%3ACAL-8a0870ef-58d2ab14-0158-e562368c-000019f2demobedework%40mysite.edu,2016-12-14 10:05:33.765196
274,DropAdd Ends,1/25/2017 17:00,None,calendar.duke.edu/events/show?fq=id%3ACAL-8a0870ef-54c7ebdc-0154-eec377da-00000620demobedework%40mysite.edu,2016-12-14 10:05:33.765202
275,Design Strategies for an English Garden,1/25/2017 18:30,,calendar.duke.edu/events/show?fq=id%3ACAL-8a0870ef-56e4a218-0156-e732aa97-00002d6fdemobedework%40mysite.edu_20170125T233000Z,2016-12-14 10:05:33.765206
276,Catholic Eucharistic Adoration - Goodson Chapel,1/25/2017 20:00,Divinity School Goodson Chapel,calendar.duke.edu/events/show?fq=id%3ACAL-8a0870ef-4f40a47f-014f-423c3769-00006f4cdemobedework%40mysite.edu_20170126T010000Z,2016-12-14 10:05:33.765212
277,Catholic Reconciliation Service - Goodson Chapel,1/25/2017 21:00,Divinity School Goodson Chapel,calendar.duke.edu/events/show?fq=id%3ACAL-8a0870ef-4f40a47f-014f-423e65b9-0000721fdemobedework%40mysite.edu_20170126T020000Z,2016-12-14 10:05:33.765217
278,Jazz@TheMaryLou,1/25/2017 00:01,Mary Lou Williams Center,calendar.duke.edu/events/show?fq=id%3ACAL-8a0870ef-56fd4248-0157-0514ba8e-000072c4demobedework%40mysite.edu_20170126T023000Z,2016-12-14 10:05:33.765223
279,Engineering Master's Drop-in Advising,1/26/2017 8:00,Teer 213C,calendar.duke.edu/events/show?fq=id%3ACAL-8a0870ee-58d29677-0158-df06086b-00006375demobedework%40mysite.edu_20170126T130000Z,2016-12-14 10:05:33.765229
280,Catholic Daily Mass - Thursday YOH Football Center,1/26/2017 11:30,Yoh Football Center,calendar.duke.edu/events/show?fq=id%3ACAL-8a0870ef-4f40a47f-014f-424d6566-00007ac8demobedework%40mysite.edu_20170126T163000Z,2016-12-14 10:05:33.765234
281,Cover Letter Workshop for Graduate Students [Registration required],1/26/2017 12:00,West Union - 067 Multipurpose Room,calendar.duke.edu/events/show?fq=id%3ACAL-8a0870ef-58f34bfa-0158-f397b192-000013c7demobedework%40mysite.edu,2016-12-14 10:05:33.765240
282,DVS Workshop:  Leaflet -- A learning series on R,1/26/2017 12:00,,calendar.duke.edu/events/show?fq=id%3ACAL-8a0870ee-58b452ba-0158-b59d5096-00002bc3demobedework%40mysite.edu,2016-12-14 10:05:33.765245
283, SHE Luncheon (Share Hear and Empower) Luncheon,1/26/2017 12:00,Garden Room Penn Pavilion,calendar.duke.edu/events/show?fq=id%3ACAL-8a0870ef-58f34bfa-0158-f3bca1ea-00001935demobedework%40mysite.edu,2016-12-14 10:05:33.765251
284,DVS Workshop: Introduction to ArcGIS,1/26/2017 1:00,,calendar.duke.edu/events/show?fq=id%3ACAL-8a0870ee-58b452ba-0158-cf6234d9-000069a6demobedework%40mysite.edu,2016-12-14 10:05:33.765256
285,Undergraduate Drop-in Advising,1/26/2017 13:30,Smith Warehouse - Career Center,calendar.duke.edu/events/show?fq=id%3ACAL-8a0870ef-58f34bfa-0158-f3ce3cd4-00001bc9demobedework%40mysite.edu_20170126T183000Z,2016-12-14 10:05:33.765261
286,Engineering Master's Drop-in Advising,1/26/2017 14:00,Teer 213C,calendar.duke.edu/events/show?fq=id%3ACAL-8a0870ee-58d29677-0158-df0af6da-0000650ademobedework%40mysite.edu_20170126T190000Z,2016-12-14 10:05:33.765266
287,Lori Hunter Univ. of Colorado- Boulder,1/26/2017 15:30,,calendar.duke.edu/events/show?fq=id%3ACAL-8a0870ee-57e1e0ef-0158-018df0e7-00007daedemobedework%40mysite.edu,2016-12-14 10:05:33.765272
288,Seminars in Women's Cancer,1/26/2017 17:00,,calendar.duke.edu/events/show?fq=id%3ACAL-8a0870ee-54abcba6-0154-ba885691-00001811demobedework%40mysite.edu_20170126T170000Z,2016-12-14 10:05:33.765277
289,Choral Vespers,1/26/2017 18:00,,calendar.duke.edu/events/show?fq=id%3ACAL-8a0870ef-568e5692-0156-95164a81-00003345demobedework%40mysite.edu_20170126T230000Z,2016-12-14 10:05:33.765282
290,LIVE PERFORMANCE: reVERSE-gesture-reVIEWed,1/26/2017 19:00,Nasher Museum of Art,calendar.duke.edu/events/show?fq=id%3ACAL-8a0870ee-5824363a-0158-26071dbc-00005d09demobedework%40mysite.edu,2016-12-14 10:05:33.765287
291,Women's Basketball at Notre Dame,1/26/2017 19:00,South Bend  Ind.,calendar.duke.edu/events/show?fq=id%3ACAL-8a0870ee-57dc1ede-0157-dd9a74cb-000058e4demobedework%40mysite.edu,2016-12-14 10:05:33.765295
292,7th Annual Duke University School of Law Sports and Entertainment Law Symposium,1/27/2017 10:30,Law School 3041,calendar.duke.edu/events/show?fq=id%3ACAL-8a0870ee-56df798d-0156-e18bd9c0-000007c4demobedework%40mysite.edu,2016-12-14 10:05:33.765300
293,Evolutionary Anthropology Talk Series,1/27/2017 11:45,,calendar.duke.edu/events/show?fq=id%3ACAL-8a0870ef-56489105-0156-4bf3ca53-00007003demobedework%40mysite.edu,2016-12-14 10:05:33.765306
294,Lizabeth M. Romanski University of Rochester,1/27/2017 12:00,,calendar.duke.edu/events/show?fq=id%3ACAL-8a0870ee-5609208c-0156-2cbedc94-00001493demobedework%40mysite.edu,2016-12-14 10:05:33.765311
295,Prenatal heavy metal burden and early signs of cardiometabolic dysfunction: Insights from a Durham-based Cohort,1/27/2017 12:00,,calendar.duke.edu/events/show?fq=id%3ACAL-8a0870ef-56fd4248-0157-33e78dd1-00007e10demobedework%40mysite.edu_20170127T170000Z,2016-12-14 10:05:33.765316
296,A CRISPR Immune Response to Viruses that Infect Bacteria,1/27/2017 12:00,,calendar.duke.edu/events/show?fq=id%3ACAL-8a0870ef-58b97e66-0158-bb493999-0000307fdemobedework%40mysite.edu,2016-12-14 10:05:33.765323
297,Jummah,1/27/2017 12:45,Gray 229 (York Reading Room),calendar.duke.edu/events/show?fq=id%3ACAL-8a0870ee-56517d87-0156-6b626a94-000023c5demobedework%40mysite.edu_20170127T174500Z,2016-12-14 10:05:33.765329
298,Freestyle Friday: ReMix,1/27/2017 1:00,Mary Lou Williams Center,calendar.duke.edu/events/show?fq=id%3ACAL-8a0870ef-56fd4248-0157-050e582c-00006e8edemobedework%40mysite.edu_20170127T180000Z,2016-12-14 10:05:33.765335
299,Undergraduate Drop-in Advising,1/27/2017 13:30,Smith Warehouse - Career Center,calendar.duke.edu/events/show?fq=id%3ACAL-8a0870ef-58f34bfa-0158-f3ce3cd4-00001bc9demobedework%40mysite.edu_20170127T183000Z,2016-12-14 10:05:33.765368
300,LIVE PERFORMANCE: reVERSE-gesture-reVIEWed,1/27/2017 14:00,Nasher Museum of Art,calendar.duke.edu/events/show?fq=id%3ACAL-8a0870ee-5824363a-0158-260a4ae3-00005e02demobedework%40mysite.edu,2016-12-14 10:05:33.765383
301,U.S. Job Search Workshop for International Graduate Students [Registration required],1/27/2017 14:00,West Union - 067 Multipurpose Room,calendar.duke.edu/events/show?fq=id%3ACAL-8a0870ef-58f34bfa-0158-f3953f82-000013c6demobedework%40mysite.edu,2016-12-14 10:05:33.765393
302,Drop-In Advising for Graduate Students,1/27/2017 14:00,North Building 401 EIS office space,calendar.duke.edu/events/show?fq=id%3ACAL-8a0870ee-58f8fdd2-0158-f9026727-00000331demobedework%40mysite.edu_20170127T190000Z,2016-12-14 10:05:33.765405
304,Blueprint: People + Wildlife Conference - Speaker Series,1/27/2017 16:00,,calendar.duke.edu/events/show?fq=id%3ACAL-8a0870ef-58d2ab14-0158-e47064b9-000062e6demobedework%40mysite.edu_20170127T210000Z,2016-12-14 10:05:33.765430
305,LIVE PERFORMANCE: reVERSE-gesture-reVIEWed,1/27/2017 19:00,Nasher Museum of Art,calendar.duke.edu/events/show?fq=id%3ACAL-8a0870ee-5824363a-0158-260b49de-00005e57demobedework%40mysite.edu,2016-12-14 10:05:33.765436
306,Blueprint: People + Wildlife Conference - Workshop,1/28/2017 8:00,,calendar.duke.edu/events/show?fq=id%3ACAL-8a0870ef-58d2ab14-0158-e47064b9-000062e6demobedework%40mysite.edu_20170128T130000Z,2016-12-14 10:05:33.765441
307,Men's Basketball at Wake Forest,1/28/2017 15:00,Winston-Salem NC,calendar.duke.edu/events/show?fq=id%3ACAL-8a0870ef-57d2ac3d-0157-d86873ce-00002713demobedework%40mysite.edu,2016-12-14 10:05:33.765447
308,Catholic Mass - Goodson Chapel,1/29/2017 9:30,Divinity School Goodson Chapel,calendar.duke.edu/events/show?fq=id%3ACAL-8a0870ef-4f40a47f-014f-4238344e-00006c2cdemobedework%40mysite.edu_20170129T143000Z,2016-12-14 10:05:33.765452
309, Wee Praise (Westbrook Building),1/29/2017 9:45,,calendar.duke.edu/events/show?fq=id%3ACAL-8a0870ef-569c8e38-0156-a3099922-00006f7bdemobedework%40mysite.edu_20170129T144500Z,2016-12-14 10:05:33.765458
310, Godly Play (Langford Building),1/29/2017 9:45,,calendar.duke.edu/events/show?fq=id%3ACAL-8a0870ef-569c8e38-0156-a30b62e2-00006fd0demobedework%40mysite.edu_20170129T144500Z,2016-12-14 10:05:33.765463
311, Youth Sunday School (Westbrook Building),1/29/2017 9:45,,calendar.duke.edu/events/show?fq=id%3ACAL-8a0870ef-569c8e38-0156-a30e2e9f-00007079demobedework%40mysite.edu_20170129T144500Z,2016-12-14 10:05:33.765473
312, Adult Forum (Westbrook Building),1/29/2017 9:45,,calendar.duke.edu/events/show?fq=id%3ACAL-8a0870ef-569c8e38-0156-a306dbfb-00006e86demobedework%40mysite.edu_20170129T144500Z,2016-12-14 10:05:33.765479
313,University Worship,1/29/2017 11:00,Duke Chapel,calendar.duke.edu/events/show?fq=id%3ACAL-8a0870ef-5434eacf-0154-350a21e0-00001075demobedework%40mysite.edu_20170129T160000Z,2016-12-14 10:05:33.765485
314,Catholic Mass - Goodson Chapel,1/29/2017 11:00,Goodson Chapel,calendar.duke.edu/events/show?fq=id%3ACAL-8a0870ee-4cc8788f-014c-dda97066-00001c66demobedework%40mysite.edu_20170129T160000Z,2016-12-14 10:05:33.765490
315,Women's Basketball vs. Wake Forest,1/29/2017 1:00,Cameron Indoor Stadium,calendar.duke.edu/events/show?fq=id%3ACAL-8a0870ee-57dc1ede-0157-dd9b1414-00005939demobedework%40mysite.edu,2016-12-14 10:05:33.765495
316,Choral Evensong,1/29/2017 16:00,,calendar.duke.edu/events/show?fq=id%3ACAL-8a0870ef-568e5692-0156-953746f9-00004e9bdemobedework%40mysite.edu_20170129T210000Z,2016-12-14 10:05:33.765501
317,Organ Recital Series: Thomas Murray,1/29/2017 17:00,,calendar.duke.edu/events/show?fq=id%3ACAL-8a0870ef-565478e9-0156-56c7bc5d-00007ac0demobedework%40mysite.edu,2016-12-14 10:05:33.765506
318,Youth Fellowship,1/29/2017 17:00,,calendar.duke.edu/events/show?fq=id%3ACAL-8a0870ef-56b915eb-0156-c334f3a4-000058e4demobedework%40mysite.edu_20170129T220000Z,2016-12-14 10:05:33.765511
319,MFA|EDA Sunday Screening Salon,1/29/2017 18:00,105 Hood Street Suite #5                  -,calendar.duke.edu/events/show?fq=id%3ACAL-8a0870ee-56fd49ba-0157-0a7912af-00000d86demobedework%40mysite.edu,2016-12-14 10:05:33.765515
320,Catholic Mass - Duke Chapel,1/29/2017 21:00,Goodson Chapel,calendar.duke.edu/events/show?fq=id%3ACAL-8a0870ee-4cc8788f-014c-dd94d9f5-000004bfdemobedework%40mysite.edu_20170130T020000Z,2016-12-14 10:05:33.765521
321,Drop-In Advising for Graduate Students,1/30/2017 10:00,The Edge Bostock Library,calendar.duke.edu/events/show?fq=id%3ACAL-8a0870ee-58eecd42-0158-f8e036d1-000007b3demobedework%40mysite.edu_20170130T150000Z,2016-12-14 10:05:33.765526
322,Catholic Daily Mass - Monday,1/30/2017 12:00,Duke Chapel,calendar.duke.edu/events/show?fq=id%3ACAL-8a0870ef-4f40a47f-014f-42427831-00007541demobedework%40mysite.edu_20170130T170000Z,2016-12-14 10:05:33.765532
323,DVS Workshop Series: Data Management and Reproducibility: Enabling Open and Transparent Research Through Data Sharing,1/30/2017 1:00,,calendar.duke.edu/events/show?fq=id%3ACAL-8a0870ee-58d29677-0158-da6b147d-00004012demobedework%40mysite.edu,2016-12-14 10:05:33.765537
324,Undergraduate Drop-in Advising,1/30/2017 13:30,Smith Warehouse - Career Center,calendar.duke.edu/events/show?fq=id%3ACAL-8a0870ef-58f34bfa-0158-f3ce3cd4-00001bc9demobedework%40mysite.edu_20170130T183000Z,2016-12-14 10:05:33.765543
325,GSFS - Graduate Scholars Colloquium,1/30/2017 18:00,,calendar.duke.edu/events/show?fq=id%3ACAL-8a0870ef-56e4a218-0156-e6a86311-000002c9demobedework%40mysite.edu,2016-12-14 10:05:33.765548
326,Men's Basketball at Notre Dame,1/30/2017 19:00,South Bend  Ind.,calendar.duke.edu/events/show?fq=id%3ACAL-8a0870ef-57d2ac3d-0157-d86919e5-000027b8demobedework%40mysite.edu,2016-12-14 10:05:33.765554
327,DVS Workshop:  Adobe Illustrator for Diagrams and Visualizations,1/31/2017 9:30,,calendar.duke.edu/events/show?fq=id%3ACAL-8a0870ee-58b452ba-0158-cfc0cdec-000075fcdemobedework%40mysite.edu,2016-12-14 10:05:33.765559
328,DVS Workshop:  Regular Expressions - Pattern Matching,1/31/2017 10:00,,calendar.duke.edu/events/show?fq=id%3ACAL-8a0870ee-58b452ba-0158-cf48137e-0000638ddemobedework%40mysite.edu,2016-12-14 10:05:33.765564
329,Neurobiology Invited Seminar,1/31/2017 12:00,,calendar.duke.edu/events/show?fq=id%3ACAL-8a0870ef-565478e9-0156-7f285bdd-00002304demobedework%40mysite.edu,2016-12-14 10:05:33.765569
330,Undergraduate Drop-in Advising,1/31/2017 13:30,Smith Warehouse - Career Center,calendar.duke.edu/events/show?fq=id%3ACAL-8a0870ef-58f34bfa-0158-f3ce3cd4-00001bc9demobedework%40mysite.edu_20170131T183000Z,2016-12-14 10:05:33.765577
331,Cover Letter Lab for Graduate Students,1/31/2017 14:00,The Graduate School Conference Room 207,calendar.duke.edu/events/show?fq=id%3ACAL-8a0870ee-58f8fdd2-0158-f9232ca1-00000bc0demobedework%40mysite.edu,2016-12-14 10:05:33.765583
332,Novel mechanisms of estrogen on mitochondrial and metabolic function,1/31/2017 17:00,,calendar.duke.edu/events/show?fq=id%3ACAL-8a0870ef-5743f5a9-0157-491490c2-00005d85demobedework%40mysite.edu,2016-12-14 10:05:33.765588
333,Catholic Daily Mass - Tuesday Evenings,1/31/2017 17:45,Falcone-Arena House,calendar.duke.edu/events/show?fq=id%3ACAL-8a0870ef-4f40a47f-014f-4244a4ea-00007764demobedework%40mysite.edu_20170131T224500Z,2016-12-14 10:05:33.765594
334,Tuesday Night Dinner,1/31/2017 18:30,Falcone-Arena House,calendar.duke.edu/events/show?fq=id%3ACAL-8a0870ef-4f40a47f-014f-4239ceef-00006d6ddemobedework%40mysite.edu_20170131T233000Z,2016-12-14 10:05:33.765599
335,ScreenSociety--French Film Festival--Eastern Boys,1/31/2017 19:00,,calendar.duke.edu/events/show?fq=id%3ACAL-8a0870ef-58d2ab14-0158-e5a7ea42-000023f7demobedework%40mysite.edu,2016-12-14 10:05:33.765604
336,Finance Seminar Series | Victoria Ivashina Harvard University,2/01/2017 10:30,,calendar.duke.edu/events/show?fq=id%3ACAL-8a0870ef-56fd4248-0157-1faa9c1f-0000624edemobedework%40mysite.edu_20170201T153000Z,2016-12-14 10:05:33.765609
